id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
40003,60000,1,0,0,0,0,0,1,5,1,0,0,3,2,1,70,4,830.78,0,0,0.49,0,1.74,39.92,0,0,11.0021,0
40039,39000,1,0,0,0,0,0,0,0,0,0,1,3,2,0,70,3,,0,9.21,1.73,0,0.69,46,1,0,10.57132,0
40007,140000,0,1,0,0,0,0,0,0,0,1,0,4,4,0,257,4,826.75,0,15.41,1.32,0,0.54,46,1,0,11.8494,1
40008,38000,0,1,0,0,0,0,1,1,0,1,0,3,4,1,115,4,914.15,0,8.16,5.57,0,1.55,45.87,0,0,10.54534,0
40010,110000,0,1,0,0,0,0,0,0,0,1,0,4,4,1,270,4,911.25,0,8.11,5.53,0,1.58,45.88,1,0,11.60824,1
40011,120000,0,1,0,0,0,0,0,0,0,1,0,4,2,2,268,4,757.37,0,0,0,0,0.4,46,1,0,11.69525,1
40012,140000,0,1,0,0,0,0,0,0,0,1,0,4,4,0,176,4,759.9,0,0,0,0,0.7,46,1,0,11.8494,1
40013,170000,0,1,0,0,0,0,0,0,0,0,1,4,2,0,277,4,794.03,0,0,0,0,0.73,46,1,0,12.04355,1
40014,190000,1,0,0,0,0,0,0,0,0,1,0,3,4,0,143,4,766.84,0,0,0,0,0.52,46,1,0,12.15478,1
40015,120000,1,0,0,0,0,0,0,0,0,1,0,4,3,2,220,4,630.6,0,10.85,4.36,0,1.16,46,1,0,11.69525,1
40016,130000,1,0,0,0,0,0,0,0,0,1,0,4,4,1,280,4,386.8,0,24.03,6.4,0,0.64,46,1,0,11.77529,1
40017,60000,0,1,0,0,0,0,1,4,0,1,0,2,2,1,86,5,473.14,0,0,0.36,0,0.52,46,0,1,11.0021,0
40018,65000,0,0,0,0,0,0,1,3,0,0,1,,,,,2,333.145,0,8.145,7.62,0,0.575,46,0,0,11.08214255,0
40019,70000,1,0,0,0,0,0,1,5,0,1,0,3,3,1,117,3,193.15,0,16.29,14.88,0,0.63,46,0,0,11.15625,0
40020,75000,1,0,0,0,0,0,1,4,0,1,0,4,4,1,138,4,340.79,0,4.27,3.01,0,0.18,46,0,0,11.22524,0
40023,58000,0,1,0,0,0,0,1,5,1,0,0,3,3,1,65,4,838.24,0,0.13,1.05,0,0.89,39.44,0,0,10.9682,0
40024,100000,1,0,0,0,0,0,0,0,0,1,0,3,4,2,270,4,937.71,0,9.91,6.46,0,1.73,46,1,0,11.51293,0
40025,60000,1,0,0,0,0,0,1,1,0,1,0,2,2,1,95,4,951.52,0,10.39,6.97,0.05,1.64,46,0,0,11.0021,0
40026,42000,1,0,0,0,0,0,1,2,1,0,0,1,4,1,42,4,705.56,0,0,1.96,0,0,42.42,0,0,10.64542,0
40030,100000,1,0,0,0,0,0,0,0,0,1,0,4,1,1,138,4,823.08,0,15.51,1.16,0,0.51,46,1,0,11.51293,0
40032,135000,1,0,0,0,0,0,0,0,0,1,0,4,3,3,430,4,744.15,0,0,1.2,0,0,37.97,1,0,11.81303,1
40034,160000,1,0,0,0,0,0,0,0,0,1,0,4,4,0,150,3,326.11,0,4.43,20.41,0,0.15,46,1,0,11.98293,1
40037,108000,1,0,0,0,0,0,0,0,0,1,0,4,3,3,250,4,871.69,0,14.22,3.2,0,0.91,46,1,0,11.58989,0
40038,180000,1,0,0,0,0,0,0,0,0,0,1,4,4,3,331,4,840.32,0,13.03,3.19,0,0.94,46,1,0,12.10071,1
40039,39000,1,0,0,0,0,0,0,0,0,0,1,3,2,0,70,3,657.13,0,9.21,1.73,0,0.69,46,1,0,10.57132,0
40041,36000,1,0,0,0,0,0,1,5,0,1,0,3,1,0,61,3,834.88,0,15.2,1.66,0,0.61,46,0,0,10.49127,0
40045,163400,0,0,0,1,0,0,0,0,1,0,0,4,3,2,300,4,222.24,0,11.19,18.95,0,0.25,46,1,0,12.00396,1
40047,240000,1,0,0,0,0,0,0,0,1,0,0,3,2,0,300,3,564.66,0,10.34,11.19,0,0.28,46,1,0,12.38839,1
40049,40000,1,0,0,0,0,0,1,4,0,1,0,2,2,1,83,4,743.02,0,0,0.03,0,0.04,45.82,0,0,10.59663,0
40055,77000,0,1,0,0,0,0,1,3,1,0,0,2,2,1,70,3,403.27,0,0,1.93,0,2.54,34,0,0,11.25156,0
40065,190000,1,0,0,0,0,0,0,0,0,1,0,4,1,3,380,4,886.97,0,0,1.51,0,0.73,34,1,0,12.15478,1
40066,150000,1,0,0,0,0,0,0,0,0,1,0,4,2,1,359,4,376.3,0,16.13,11.15,0,0.56,46,1,0,11.91839,1
40067,120000,1,0,0,0,0,0,0,0,0,1,0,4,2,1,240,4,805.53,0,15.16,1.84,0,0.5,46,1,0,11.69525,1
40069,350000,1,0,0,0,0,0,0,0,0,1,0,4,4,2,350,3,416.37,0,0,0.42,0,1.23,34,1,0,12.76569,1
40071,170000,1,0,0,0,0,0,0,0,0,1,0,4,4,1,320,4,895.76,0,0,1.71,0,0.16,35.65,1,0,12.04355,1
40073,160000,1,0,0,0,0,0,0,0,0,1,0,4,3,2,248,4,861.39,0,0,0,0,1.45,46,1,0,11.98293,1
40079,20000,1,0,0,0,0,0,1,3,0,1,0,3,2,0,33,3,424.46,0,0,2.12,0,0.55,46,0,0,9.903487,0
40080,27000,1,0,0,0,0,0,1,5,0,1,0,2,2,0,47,3,701.55,0,12.89,2.99,0,0.41,46,0,0,10.20359,0
40085,65000,1,0,0,0,0,0,1,3,0,1,0,3,4,1,117,4,610.67,0,0,3.49,0,0.04,44.55,0,0,11.08214,0
40095,180000,1,0,0,0,0,0,0,0,1,0,0,4,4,1,404,4,831.55,0,0,1.86,0,0.7,34.5,1,0,12.10071,1
40101,160000,1,0,0,0,0,0,0,0,0,1,0,4,4,1,234,4,909.09,0,0,1.6,0,0,36.42,1,0,11.98293,1
40104,55000,0,1,0,0,0,0,0,0,0,1,0,2,3,0,164,3,828.72,0,0,0.47,0,1.62,41.28,1,0,10.91509,0
40105,64000,0,0,1,0,0,0,1,2,1,0,0,2,3,1,60,4,885.03,0,0,1.29,0,0,38.31,0,0,11.06664,0
40108,140000,0,0,0,1,0,0,0,0,0,0,1,3,4,1,182,4,396.47,0,4.19,11.05,0,0.33,46,1,0,11.8494,1
40109,150000,1,0,0,0,0,0,0,0,0,1,0,4,4,1,344,4,833.45,0,0,1.84,0,0.75,34.28,1,0,11.91839,1
40112,245000,1,0,0,0,0,0,0,0,0,1,0,4,2,0,220,3,902.86,0,6.76,4.66,0,1.14,45.62,1,0,12.40901,1
40115,46000,1,0,0,0,0,0,1,3,1,0,0,1,4,1,48,4,478.46,0,0,2.8,0,0,38.74,0,0,10.7364,0
40116,150000,0,1,0,0,0,0,0,0,0,1,0,4,4,1,350,4,846.6,0,0,0.81,0,0,41.08,1,0,11.91839,1
40125,82000,1,0,0,0,0,0,0,0,0,0,1,4,4,2,366,4,826.37,0,3.94,2.85,0,1.44,44.94,1,0,11.31447,0
40126,48383,1,0,0,0,0,0,1,5,1,0,0,1,2,1,53,4,427.55,0,0,1.47,0,0.01,36.12,0,0,10.7869,0
40018,89191.5,1,0,0,0,0,0,1,3,0,0,1,1,2,0,176.5,,339.5,,,,,0.14,41.06,0,0,11.39854102,0
40137,130000,1,0,0,0,0,0,0,0,0,1,0,3,4,1,300,4,251.45,0,6.39,20.43,0,0.27,46,1,0,11.77529,1
40143,58000,0,1,0,0,0,0,1,1,0,1,0,2,3,0,106,3,757.63,0,3.06,2.08,0.26,0.49,46,0,0,10.9682,0
